,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023
all_items,215.303,214.537,218.056,224.939,229.594,232.957,236.736,237.017,240.007,245.12,251.107,255.657,270.97,292.655,304.127
housing,216.3,217.6,216.3,218.0,221.3,226.3,232.4,238.9,245.8,252.2,260.2,268.3,287.0,310.8,331.0
food,214.1,218.0,219.6,227.7,233.0,236.2,240.0,242.8,243.0,245.9,250.5,255.7,277.9,306.6,323.0
transportation,195.5,179.3,192.2,212.6,219.1,221.7,222.6,193.7,192.4,198.9,212.5,215.4,242.3,281.9,289.0
medical,364.1,375.6,388.4,400.3,414.9,425.1,435.3,446.8,462.3,476.0,488.1,505.5,541.7,570.9,593.0
apparel,119.0,119.6,119.5,123.4,126.2,127.5,127.3,126.2,125.9,125.6,126.0,125.8,124.5,128.8,131.0
recreation,113.3,113.3,113.3,114.3,115.4,117.6,118.6,117.6,117.8,118.1,119.5,121.2,125.4,132.3,137.0
education,119.6,123.6,126.7,129.5,132.0,133.9,135.5,136.1,137.8,139.4,141.4,144.1,152.5,160.2,166.0
other_goods,382.9,399.0,409.5,421.5,432.4,438.4,446.4,454.0,464.6,475.5,490.2,502.5,540.4,592.4,620.0
utilities,227.5,206.0,217.7,237.6,235.5,241.4,245.3,215.5,208.3,217.5,231.2,233.8,256.2,298.6,303.0
