state,rank_old,rank_new,rank_change,mli_old,mli_new,mli_diff
Utah,1,1,0,1.352,1.352,0.0
Maryland,2,2,0,1.301,1.305,0.0040000000000000036
New Hampshire,3,3,0,1.292,1.287,-0.0050000000000001155
North Dakota,4,4,0,1.27,1.28,0.010000000000000009
Massachusetts,5,5,0,1.261,1.279,0.018000000000000016
Virginia,6,6,0,1.251,1.255,0.0040000000000000036
New Jersey,10,7,3,1.231,1.248,0.016999999999999904
Connecticut,9,8,1,1.232,1.243,0.01100000000000012
Minnesota,7,9,-2,1.241,1.237,-0.0040000000000000036
Alaska,11,10,1,1.229,1.235,0.006000000000000005
Vermont,8,11,-3,1.238,1.233,-0.004999999999999893
Colorado,12,12,0,1.215,1.224,0.008999999999999897
Nebraska,13,13,0,1.208,1.213,0.0050000000000001155
Hawaii,16,14,2,1.201,1.213,0.01200000000000001
Rhode Island,15,15,0,1.201,1.212,0.010999999999999899
South Dakota,14,16,-2,1.206,1.207,0.001000000000000112
Washington,18,17,1,1.192,1.204,0.01200000000000001
Iowa,17,18,-1,1.194,1.192,-0.0020000000000000018
Wisconsin,19,19,0,1.176,1.18,0.0040000000000000036
Illinois,21,20,1,1.164,1.168,0.0040000000000000036
Kansas,23,21,2,1.161,1.164,0.0029999999999998916
Delaware,20,22,-2,1.166,1.16,-0.006000000000000005
Idaho,22,23,-1,1.163,1.159,-0.0040000000000000036
Wyoming,24,24,0,1.16,1.158,-0.0020000000000000018
Montana,25,25,0,1.137,1.138,0.0009999999999998899
California,32,26,6,1.098,1.133,0.03499999999999992
Indiana,27,27,0,1.119,1.119,0.0
Maine,26,28,-2,1.123,1.118,-0.004999999999999893
Georgia,28,29,-1,1.113,1.117,0.0040000000000000036
Texas,31,30,1,1.102,1.113,0.010999999999999899
Missouri,29,31,-2,1.106,1.108,0.0020000000000000018
Pennsylvania,30,32,-2,1.106,1.106,0.0
Ohio,33,33,0,1.096,1.1,0.0040000000000000036
North Carolina,34,34,0,1.094,1.098,0.0040000000000000036
Nevada,37,35,2,1.074,1.089,0.014999999999999902
Oregon,36,36,0,1.075,1.086,0.01100000000000012
New York,41,37,4,1.053,1.085,0.03200000000000003
Michigan,35,38,-3,1.08,1.075,-0.0050000000000001155
Arizona,38,39,-1,1.068,1.071,0.0029999999999998916
Tennessee,39,40,-1,1.065,1.068,0.0030000000000001137
South Carolina,40,41,-1,1.055,1.052,-0.0029999999999998916
Oklahoma,42,42,0,1.046,1.05,0.0040000000000000036
Alabama,43,43,0,1.038,1.038,0.0
Arkansas,44,44,0,1.023,1.025,0.0020000000000000018
Kentucky,45,45,0,1.016,1.017,0.0009999999999998899
New Mexico,46,46,0,1.001,1.001,0.0
Louisiana,47,47,0,0.981,0.982,0.0010000000000000009
Florida,48,48,0,0.967,0.97,0.0030000000000000027
West Virginia,49,49,0,0.949,0.946,-0.0030000000000000027
Mississippi,50,50,0,0.931,0.931,0.0
