state,mli_q2,mli_q3,mli_q4,spread
California,113.72,115.45,117.03,3.3100000000000023
Colorado,126.24,127.72,129.04,2.799999999999997
New Jersey,128.08,129.46,130.69,2.609999999999985
Hawaii,124.96,126.25,127.38,2.4200000000000017
Massachusetts,131.45,132.6,133.69,2.240000000000009
Maryland,135.6,136.75,137.75,2.1500000000000057
Washington,124.29,125.26,126.15,1.8599999999999994
Nevada,112.01,112.89,113.66,1.6499999999999915
New York,109.81,110.66,111.42,1.6099999999999994
Florida,100.87,101.66,102.41,1.539999999999992
Utah,141.32,142.1,142.81,1.490000000000009
Connecticut,128.85,129.57,130.27,1.420000000000016
New Hampshire,135.19,135.81,136.43,1.240000000000009
Virginia,131.0,131.56,132.06,1.0600000000000023
Oregon,112.53,113.0,113.43,0.9000000000000057
Arizona,111.9,112.3,112.71,0.8099999999999881
Texas,115.49,115.86,116.16,0.6700000000000017
Delaware,122.31,122.58,122.83,0.519999999999996
Rhode Island,126.01,126.22,126.47,0.45999999999999375
Minnesota,130.34,130.43,130.47,0.12999999999999545
Alaska,129.19,129.24,129.32,0.12999999999999545
Idaho,122.13,122.22,122.25,0.12000000000000455
Illinois,122.29,122.36,122.4,0.10999999999999943
Georgia,117.1,117.05,116.99,-0.10999999999999943
Pennsylvania,116.38,116.24,116.1,-0.28000000000000114
South Carolina,111.25,110.93,110.64,-0.6099999999999994
New Mexico,105.51,105.2,104.87,-0.6400000000000006
North Carolina,115.36,115.02,114.72,-0.6400000000000006
Montana,119.88,119.56,119.24,-0.6400000000000006
Nebraska,127.34,126.97,126.58,-0.7600000000000051
Wyoming,122.32,121.91,121.52,-0.7999999999999972
Michigan,114.0,113.54,113.16,-0.8400000000000034
Tennessee,112.43,111.97,111.58,-0.8500000000000085
Vermont,130.64,130.11,129.69,-0.9499999999999886
North Dakota,133.91,133.47,132.95,-0.960000000000008
Wisconsin,124.24,123.68,123.22,-1.019999999999996
Missouri,116.87,116.32,115.76,-1.1099999999999994
Maine,118.68,118.06,117.57,-1.1100000000000136
Kansas,122.74,122.05,121.39,-1.3499999999999943
Ohio,115.99,115.23,114.59,-1.3999999999999915
South Dakota,127.5,126.79,126.07,-1.4300000000000068
Indiana,118.45,117.67,117.01,-1.4399999999999977
Iowa,126.27,125.51,124.77,-1.5
Louisiana,104.0,103.14,102.39,-1.6099999999999994
Oklahoma,110.93,110.01,109.21,-1.720000000000013
Kentucky,107.8,106.76,105.86,-1.9399999999999977
Alabama,110.26,109.12,108.15,-2.1099999999999994
Arkansas,108.82,107.58,106.5,-2.319999999999993
Mississippi,99.15,97.89,96.8,-2.3500000000000085
West Virginia,101.0,99.73,98.64,-2.3599999999999994
