state,median_income,col_index,annual_savings,savings_rate,years_to_escape,income_growth_15yr,poverty_trap_score,trap_category
Louisiana,58229,9946.51,48282.49,82.91828813821292,0.09218078028908618,33.14659410513801,78.13583773632192,Trapped
Mississippi,54203,9274.79,44928.21,82.88878844344408,0.09906287391596505,43.4321249007674,73.51194967326936,Difficult
Nevada,76364,13867.38,62496.62,81.84042218846578,0.07121533296520675,35.4908536044428,72.70289079130397,Difficult
Florida,73311,14893.43,58417.57,79.68459030704805,0.07618799622271176,53.44091422830593,71.06406693640122,Difficult
New Mexico,62268,10845.64,51422.36,82.5823215776964,0.08655218474025696,43.118506941252186,70.04040567942108,Difficult
West Virginia,55948,9423.85,46524.15,83.15605562307857,0.095664673132126,47.274210955803,68.14834226787929,Difficult
New York,82095,15111.46,66983.54000000001,81.59271575613619,0.0664449445714574,46.51187692966645,63.796756488381625,Difficult
Kentucky,61118,9922.3,51195.7,83.76533917994699,0.08693537938733135,47.13756078771245,62.03897651201746,Difficult
Oklahoma,62138,9945.54,52192.46,83.9944317486884,0.08527510683535515,45.10765494372051,61.84576119492293,Difficult
Michigan,69183,11213.23,57969.770000000004,83.7919286529928,0.076776526843215,42.37821818855343,61.30540416611777,Difficult
Alaska,86631,12882.64,73748.36,85.12929551777077,0.060350055275805455,26.542506573181424,60.37730462190923,Difficult
Alabama,62212,9822.04,52389.96,84.21198482607856,0.08495363620243268,45.81165330708292,60.241766343520176,Difficult
Ohio,67769,10590.4,57178.6,84.37279582109815,0.07783886983067091,41.22072184712844,60.022586782260454,Difficult
Wyoming,72415,10895.13,61519.87,84.95459504246358,0.0723460176768904,36.10051309038285,58.990927537496034,Difficult
Arizona,77315,13721.4,63593.6,82.25260298777727,0.06998687922212297,51.722987558381405,58.50283305933615,Difficult
Arkansas,58700,9274.76,49425.24,84.19972742759795,0.090049488935208,51.23019451243076,58.385055633546486,Difficult
Connecticut,91665,14382.58,77282.42,84.30962744777177,0.05759029805873056,33.63218893505358,57.68244585498971,Difficult
South Carolina,67804,11328.48,56475.520000000004,83.29231313786798,0.07880790832027752,51.94173669467788,57.32312994591712,Difficult
Delaware,81361,12938.01,68422.99,84.0980199358415,0.06504710774112618,40.30419562330787,56.73945792843902,Difficult
Pennsylvania,73824,11907.09,61916.91,83.87097691807543,0.07188210139201068,45.5721412655532,56.64168804518864,Difficult
Georgia,74632,12065.41,62566.59,83.83346285775538,0.07113569082956256,46.73718566288512,55.65236162812266,Difficult
Texas,75780,12764.86,63015.14,83.15537081024017,0.07062933768773663,51.4297703974582,54.99911080686619,Stable
Kansas,70333,10297.17,60035.83,85.359404546941,0.07413435614199054,40.16979891185204,54.94911394322442,Stable
Missouri,68545,10562.13,57982.87,84.59095484718068,0.07675918081495448,46.254294066187306,54.93894166713425,Stable
California,95521,18041.42,77479.58,81.1126139801719,0.05744374972734751,56.53791317743071,54.934989876298005,Stable
Indiana,69477,10587.53,58889.47,84.76110079594686,0.0755774776458338,44.846349497560766,54.74320028049384,Stable
Hawaii,95322,15656.77,79665.23,83.574862046537,0.05586775563818745,41.81866872972893,54.22903507845211,Stable
Illinois,80306,12512.96,67793.04000000001,84.41839962144797,0.06565154184706866,42.80430336978749,53.740836481621805,Stable
Tennessee,67631,11097.69,56533.31,83.59082373467788,0.0787273485755566,55.06718026321824,53.68630761825203,Stable
North Carolina,70804,11400.64,59403.36,83.89831082989662,0.0749236676595398,52.10638252164386,52.96393915902639,Stable
Wisconsin,74631,11100.9,63530.1,85.12561804076054,0.07005683294218017,43.26217990555534,52.06806379937386,Stable
New Jersey,99781,16110.73,83670.27,83.85391006303806,0.05319353699348645,41.7786808377618,51.94894102217075,Stable
Oregon,80160,14023.29,66136.70999999999,82.50587574850299,0.06729572127945282,59.77994378998983,50.39956301902058,Stable
Maryland,98678,14768.24,83909.76,85.03390826729361,0.05304171532012486,39.879509532922256,48.07908004591124,Stable
Iowa,71433,10083.58,61349.42,85.88386320048157,0.07254702004517728,45.84115965700286,47.84374345800471,Stable
Virginia,89931,13535.06,76395.94,84.94950573217245,0.05825856194059527,46.86688550291509,45.440160807112846,Stable
Idaho,74942,11703.43,63238.57,84.38334979050465,0.07037979515507703,57.52059862115353,45.02678568985938,Stable
Rhode Island,84972,13202.8,71769.2,84.46217577554958,0.06201431258116295,52.55022351483816,44.94172951659506,Stable
Nebraska,74590,10747.68,63842.32,85.59099074943022,0.06971422095093036,50.10162397118307,44.87018204378329,Stable
Maine,73733,11454.35,62278.65,84.46509703931754,0.07146458059864817,58.289860672806505,44.54122082296868,Stable
Minnesota,85086,12384.6,72701.4,85.44460898385162,0.061219145745473956,48.52325094260579,43.24095441253996,Stable
Montana,70804,10922.02,59881.979999999996,84.57428958815886,0.07432482363642619,62.19361341457827,42.35603665395784,Stable
Massachusetts,99858,15651.51,84206.49,84.32623325121673,0.05285480492655613,52.68573875017202,41.74302615347266,Stable
Colorado,92911,15397.56,77513.44,83.42762428560665,0.05741865671940247,63.02177460389873,39.97564934388873,Stable
South Dakota,71810,10005.83,61804.17,86.06624425567469,0.07201322503805165,56.000173792144594,39.38448163839227,Stable
New Hampshire,96838,14335.07,82502.93,85.19685454057291,0.053946176244892154,51.94803157019348,38.8877438955595,Stable
Washington,94605,15449.68,79155.32,83.6692775223297,0.05622764967029379,62.89300595750542,38.524245307005344,Stable
Vermont,81211,11542.46,69668.54000000001,85.78707317974167,0.06388418075791454,55.86327345309381,37.432480160681074,Stable
Utah,93421,13251.57,80169.43,85.81521285364103,0.05551639324989588,64.95859304645701,27.268625266050183,Mobile
North Dakota,76525,10336.23,66188.77,86.49300228683437,0.06724279061991935,67.50574586844698,27.151560604616158,Mobile
