state,poverty_trap_score,trap_category,years_to_escape,savings_rate,income_growth_15yr
Louisiana,78.13583773632192,Trapped,0.09218078028908618,82.91828813821292,33.14659410513801
Mississippi,73.51194967326936,Difficult,0.09906287391596505,82.88878844344408,43.4321249007674
Nevada,72.70289079130397,Difficult,0.07121533296520675,81.84042218846578,35.4908536044428
Florida,71.06406693640122,Difficult,0.07618799622271176,79.68459030704805,53.44091422830593
New Mexico,70.04040567942108,Difficult,0.08655218474025696,82.5823215776964,43.118506941252186
West Virginia,68.14834226787929,Difficult,0.095664673132126,83.15605562307857,47.274210955803
New York,63.796756488381625,Difficult,0.0664449445714574,81.59271575613619,46.51187692966645
Kentucky,62.03897651201746,Difficult,0.08693537938733135,83.76533917994699,47.13756078771245
Oklahoma,61.84576119492293,Difficult,0.08527510683535515,83.9944317486884,45.10765494372051
Michigan,61.30540416611777,Difficult,0.076776526843215,83.7919286529928,42.37821818855343
Alaska,60.37730462190923,Difficult,0.060350055275805455,85.12929551777077,26.542506573181424
Alabama,60.241766343520176,Difficult,0.08495363620243268,84.21198482607856,45.81165330708292
Ohio,60.022586782260454,Difficult,0.07783886983067091,84.37279582109815,41.22072184712844
Wyoming,58.990927537496034,Difficult,0.0723460176768904,84.95459504246358,36.10051309038285
Arizona,58.50283305933615,Difficult,0.06998687922212297,82.25260298777727,51.722987558381405
Arkansas,58.385055633546486,Difficult,0.090049488935208,84.19972742759795,51.23019451243076
Connecticut,57.68244585498971,Difficult,0.05759029805873056,84.30962744777177,33.63218893505358
South Carolina,57.32312994591712,Difficult,0.07880790832027752,83.29231313786798,51.94173669467788
Delaware,56.73945792843902,Difficult,0.06504710774112618,84.0980199358415,40.30419562330787
Pennsylvania,56.64168804518864,Difficult,0.07188210139201068,83.87097691807543,45.5721412655532
Georgia,55.65236162812266,Difficult,0.07113569082956256,83.83346285775538,46.73718566288512
Texas,54.99911080686619,Stable,0.07062933768773663,83.15537081024017,51.4297703974582
Kansas,54.94911394322442,Stable,0.07413435614199054,85.359404546941,40.16979891185204
Missouri,54.93894166713425,Stable,0.07675918081495448,84.59095484718068,46.254294066187306
California,54.934989876298005,Stable,0.05744374972734751,81.1126139801719,56.53791317743071
Indiana,54.74320028049384,Stable,0.0755774776458338,84.76110079594686,44.846349497560766
Hawaii,54.22903507845211,Stable,0.05586775563818745,83.574862046537,41.81866872972893
Illinois,53.740836481621805,Stable,0.06565154184706866,84.41839962144797,42.80430336978749
Tennessee,53.68630761825203,Stable,0.0787273485755566,83.59082373467788,55.06718026321824
North Carolina,52.96393915902639,Stable,0.0749236676595398,83.89831082989662,52.10638252164386
Wisconsin,52.06806379937386,Stable,0.07005683294218017,85.12561804076054,43.26217990555534
New Jersey,51.94894102217075,Stable,0.05319353699348645,83.85391006303806,41.7786808377618
Oregon,50.39956301902058,Stable,0.06729572127945282,82.50587574850299,59.77994378998983
Maryland,48.07908004591124,Stable,0.05304171532012486,85.03390826729361,39.879509532922256
Iowa,47.84374345800471,Stable,0.07254702004517728,85.88386320048157,45.84115965700286
Virginia,45.440160807112846,Stable,0.05825856194059527,84.94950573217245,46.86688550291509
Idaho,45.02678568985938,Stable,0.07037979515507703,84.38334979050465,57.52059862115353
Rhode Island,44.94172951659506,Stable,0.06201431258116295,84.46217577554958,52.55022351483816
Nebraska,44.87018204378329,Stable,0.06971422095093036,85.59099074943022,50.10162397118307
Maine,44.54122082296868,Stable,0.07146458059864817,84.46509703931754,58.289860672806505
Minnesota,43.24095441253996,Stable,0.061219145745473956,85.44460898385162,48.52325094260579
Montana,42.35603665395784,Stable,0.07432482363642619,84.57428958815886,62.19361341457827
Massachusetts,41.74302615347266,Stable,0.05285480492655613,84.32623325121673,52.68573875017202
Colorado,39.97564934388873,Stable,0.05741865671940247,83.42762428560665,63.02177460389873
South Dakota,39.38448163839227,Stable,0.07201322503805165,86.06624425567469,56.000173792144594
New Hampshire,38.8877438955595,Stable,0.053946176244892154,85.19685454057291,51.94803157019348
Washington,38.524245307005344,Stable,0.05622764967029379,83.6692775223297,62.89300595750542
Vermont,37.432480160681074,Stable,0.06388418075791454,85.78707317974167,55.86327345309381
Utah,27.268625266050183,Mobile,0.05551639324989588,85.81521285364103,64.95859304645701
North Dakota,27.151560604616158,Mobile,0.06724279061991935,86.49300228683437,67.50574586844698
